id;consent;priority;physics_ict;russian;math;individual;total
1001;1;1;96;100;100;3;299
1002;1;1;94;97;93;0;284
1003;1;1;100;100;100;10;310
1004;1;1;100;100;100;10;310
1005;1;1;98;100;99;5;302
1006;1;1;94;90;93;0;277
1007;1;1;94;92;96;0;282
1008;1;1;100;97;100;0;297
1009;1;1;98;97;100;0;295
1010;1;1;93;89;94;0;276
1011;1;1;99;99;98;0;296
1012;1;1;96;93;96;0;285
1013;1;1;100;100;97;0;297
1014;1;1;97;90;95;0;282
1015;1;1;93;89;94;0;276
1016;1;1;96;90;97;0;283
1017;1;1;100;100;100;8;308
1018;1;1;99;96;100;8;303
1019;1;1;95;100;100;0;295
1020;1;1;98;100;100;10;308
1021;1;1;100;99;100;5;304
1022;1;1;94;98;100;0;292
1023;1;1;97;94;97;0;288
1024;1;1;91;96;93;0;280
1025;1;1;93;94;95;0;282
1026;1;1;95;96;92;0;283
1027;1;1;94;97;98;0;289
1028;1;1;95;92;97;0;284
1029;1;1;93;98;96;0;287
1030;1;1;95;98;95;0;288
1031;1;1;93;96;95;0;284
1032;1;1;96;100;98;0;294
1033;1;1;96;94;94;0;284
1034;1;1;97;99;96;0;292
1035;1;1;97;94;96;0;287
1036;1;1;96;99;95;0;290
1037;1;1;95;96;97;0;288
1038;1;1;96;96;100;0;292
1039;1;1;94;96;98;0;288
1040;1;1;97;92;98;0;287
1041;1;1;95;93;92;0;280
1042;1;1;93;97;91;0;281
1043;1;1;97;96;90;0;283
1044;1;1;95;93;93;0;281
1045;1;1;97;97;92;0;286
1046;1;1;93;92;95;0;280
1047;1;1;96;94;92;0;282
1048;1;1;92;95;96;0;283
1049;1;1;92;93;97;0;282
1050;1;1;91;94;90;0;275
1051;1;2;83;71;84;8;246
1052;0;2;100;99;99;1;299
1053;0;1;100;100;100;7;307
1054;1;3;91;76;78;4;249
1055;0;3;81;84;84;2;251
1056;0;1;83;88;89;6;266
1057;1;4;93;88;78;10;269
1058;0;1;91;100;100;3;294
1059;0;4;100;100;100;3;303
1060;0;2;94;83;85;5;267
1061;1;1;92;88;82;3;265
1062;0;1;76;89;72;9;246
1063;0;1;77;73;66;8;224
1064;0;4;74;68;74;2;218
1065;0;3;100;100;94;7;301
1066;0;4;71;77;90;8;246
1067;0;4;100;98;100;8;306
1068;0;2;100;94;100;4;298
1069;0;3;100;93;100;6;299
1070;0;4;63;89;69;3;224
1071;1;1;76;69;90;1;236
1072;0;3;90;90;100;8;288
1073;1;2;70;84;68;8;230
1074;0;3;85;86;69;9;249
1075;0;4;56;61;76;9;202
1076;1;3;84;80;63;3;230
1077;0;2;97;79;90;3;269
1078;0;2;91;91;100;2;284
1079;0;4;95;80;100;7;282
1080;0;1;75;97;77;3;252
1081;0;3;100;94;100;3;297
1082;0;1;81;70;87;4;242
1083;1;1;88;68;84;6;246
1084;0;1;96;79;83;9;267
1085;0;4;71;68;79;8;226
1086;1;2;77;76;79;1;233
1087;0;4;100;95;100;7;302
1088;0;3;91;70;90;10;261
1089;0;3;95;87;74;7;263
1090;0;4;83;81;94;8;266
1091;0;3;79;85;66;4;234
1092;0;3;75;68;81;4;228
1093;0;2;71;82;81;2;236
1094;0;3;100;96;85;6;287
1095;0;4;86;100;100;6;292
1096;0;1;74;72;76;7;229
1097;1;3;84;75;70;3;232
1098;0;4;87;85;82;5;259
1099;0;4;96;88;86;3;273
1100;0;2;86;71;77;8;242
1101;1;4;97;89;77;1;264
1102;0;3;75;61;68;5;209
1103;0;4;69;71;74;1;215
1104;0;3;73;87;81;3;244
1105;0;2;100;98;82;5;285
1106;1;1;80;80;93;6;259
1107;0;4;83;69;81;7;240
1108;0;1;89;95;85;2;271
1109;1;4;71;75;91;1;238
1110;0;4;100;100;100;8;308
1111;1;2;77;85;71;2;235
1112;0;2;90;98;89;5;282
1113;0;2;100;89;100;4;293
1114;0;1;75;88;72;10;245
1115;1;4;89;80;68;8;245
1116;1;3;77;89;88;10;264
1117;1;4;71;89;81;3;244
1118;0;3;100;98;100;1;299
1119;1;1;71;88;73;8;240
1120;1;2;82;74;75;10;241
1121;0;4;80;65;76;0;221
1122;0;3;87;97;91;4;279
1123;0;1;100;100;100;1;301
1124;0;4;73;66;61;5;205
1125;0;2;60;79;64;2;205
1126;0;4;79;68;73;4;224
1127;1;1;77;75;65;9;226
1128;0;2;85;65;82;8;240
1129;1;4;84;81;81;5;251
1130;0;3;100;100;100;3;303
1131;0;1;100;100;100;3;303
1132;0;4;81;94;80;4;259
1133;0;4;80;86;99;8;273
1134;1;4;85;86;89;6;266
1135;1;3;85;79;85;0;249
1136;1;3;75;71;92;1;239
1137;1;3;89;71;78;5;243
1138;1;3;91;88;72;4;255
1139;1;4;69;87;72;2;230
1140;0;3;73;90;85;3;251
1141;1;1;80;73;91;8;252
1142;0;4;90;79;94;9;272
1143;0;1;95;90;100;1;286
1144;0;3;100;100;99;5;304
1145;0;4;90;81;94;5;270
1146;0;1;66;70;90;0;226
1147;1;2;86;78;75;0;239
1148;0;4;93;75;87;7;262
1149;1;3;75;66;83;6;230
1150;0;4;75;57;77;9;218
1151;0;1;100;83;92;1;276
1152;0;1;84;97;80;5;266
1153;0;3;94;100;100;0;294
1154;1;4;78;83;82;2;245
1155;1;2;68;88;73;9;238
1156;0;1;98;87;99;3;287
1157;0;2;100;100;97;5;302
1158;0;4;87;98;99;9;293
1159;0;3;100;99;100;5;304
1160;0;3;91;74;94;2;261
1161;0;1;94;88;100;9;291
1162;1;2;91;85;82;5;263
1163;0;3;72;68;69;9;218
1164;1;3;83;91;73;3;250
1165;0;3;68;87;71;6;232
1166;0;2;100;100;95;5;300
1167;0;2;98;88;80;6;272
1168;1;2;91;72;92;2;257
1169;0;3;91;76;97;2;266
1170;0;4;77;82;89;4;252
1171;0;2;78;95;87;0;260
1172;1;3;73;87;91;5;256
1173;1;4;70;86;70;3;229
1174;1;3;69;88;71;8;236
1175;1;2;93;76;88;10;267
1176;0;2;68;71;78;10;227
1177;1;1;74;88;72;9;243
1178;0;1;92;100;88;7;287
1179;0;2;95;97;100;0;292
1180;1;4;84;69;84;7;244
1181;0;3;65;71;67;9;212
1182;0;1;85;92;100;4;281
1183;0;3;99;82;92;5;278
1184;0;3;95;95;99;0;289
1185;0;4;66;77;65;8;216
1186;0;4;100;93;100;3;296
1187;1;2;71;74;77;8;230
1188;1;4;79;80;72;2;233
1189;0;4;71;73;83;0;227
1190;0;2;69;73;89;5;236
1191;0;4;89;100;97;7;293
1192;0;4;82;93;83;2;260
1193;0;2;99;100;100;3;302
1194;1;4;68;68;85;4;225
1195;0;2;70;68;61;5;204
1196;1;4;70;72;82;9;233
1197;0;3;100;100;100;1;301
1198;0;4;85;81;70;1;237
1199;0;3;99;100;100;0;299
1200;1;1;81;64;83;5;233
1201;0;2;90;77;83;3;253
1202;1;2;95;86;77;4;262
1203;0;2;79;88;83;2;252
1204;1;2;73;80;97;2;252
1205;0;1;84;100;91;7;282
1206;0;1;55;65;77;5;202
1207;1;1;86;82;97;2;267
1208;0;4;85;74;82;6;247
1209;0;4;61;72;79;7;219
1210;0;2;67;76;79;3;225
1211;0;3;94;88;91;6;279
1212;0;2;100;96;100;7;303
1213;0;4;100;100;100;0;300
1214;0;3;60;69;68;7;204
1215;0;4;76;65;80;0;221
1216;0;2;95;100;100;1;296
1217;0;4;86;86;68;5;245
1218;0;4;87;80;84;4;255
1219;1;1;80;81;92;0;253
1220;0;1;100;100;100;1;301
1221;0;1;98;94;89;6;287
1222;1;3;91;88;84;5;268
1223;0;2;97;90;100;2;289
1224;0;2;94;100;83;8;285
1225;0;1;100;100;100;3;303
1226;0;2;70;72;75;6;223
1227;0;4;75;67;82;5;229
1228;0;1;97;98;100;10;305
1229;1;2;73;77;78;6;234
1230;0;4;66;59;72;5;202
1231;0;3;81;87;80;0;248
1232;1;1;97;79;86;4;266
1233;0;2;68;76;91;8;243
1234;0;2;67;62;65;6;200
1235;1;1;89;86;74;2;251
1236;0;2;66;69;85;0;220
1237;0;3;100;94;100;5;299
1238;0;1;94;79;85;8;266
1239;0;2;70;67;78;2;217
1240;1;3;67;76;87;1;231
1241;0;3;100;100;99;10;309
1242;1;3;77;79;84;8;248
1243;1;4;69;90;72;4;235
1244;0;1;77;69;81;3;230
1245;0;1;87;81;73;6;247
1246;1;4;69;72;87;3;231
1247;1;3;76;81;94;8;259
1248;0;2;66;67;72;3;208
1249;1;4;68;74;91;2;235
1250;0;3;72;74;73;1;220
1251;0;4;64;68;85;0;217
1252;0;2;88;68;81;8;245
1253;0;1;100;98;80;1;279
1254;0;3;100;88;88;9;285
1255;1;3;77;83;70;2;232
1256;0;3;100;97;100;4;301
1257;0;3;68;65;65;4;202
1258;1;3;79;81;64;4;228
1259;0;4;91;100;100;1;292
1260;0;3;65;76;78;2;221
1261;0;3;100;100;100;4;304
1262;0;1;96;100;100;2;298
1263;1;1;76;66;82;3;227
1264;0;4;78;80;63;9;230
1265;0;4;97;90;100;10;297
1266;0;1;79;93;80;10;262
1267;0;2;57;80;66;5;208
1268;0;4;92;75;80;9;256
1269;0;1;71;94;78;4;247
1270;0;1;95;100;100;0;295
1271;1;4;75;83;63;4;225
1272;0;1;100;100;100;10;310
1273;0;3;92;90;85;3;270
1274;0;3;77;92;89;9;267
1275;0;1;72;80;93;4;249
1276;0;4;57;78;68;9;212
1277;0;1;76;75;90;0;241
1278;0;1;94;82;88;1;265
1279;0;3;100;97;100;4;301
1280;1;1;83;72;90;10;255
1281;0;3;79;100;90;6;275
1282;0;1;82;77;70;2;231
1283;0;4;89;89;99;1;278
1284;0;2;87;92;100;8;287
1285;0;2;77;90;85;1;253
1286;0;4;93;84;97;7;281
1287;0;1;76;77;80;3;236
1288;0;3;85;96;100;7;288
1289;0;2;84;100;91;7;282
1290;1;3;90;83;96;0;269
1291;1;2;79;88;70;2;239
1292;0;1;100;79;95;7;281
1293;0;2;65;65;77;8;215
1294;0;1;80;100;89;4;273
1295;0;1;70;84;81;1;236
1296;0;3;83;100;96;5;284
1297;0;1;92;84;96;9;281
1298;1;4;85;63;79;5;232
1299;0;1;60;73;64;4;201
1300;0;1;74;51;68;9;202
1301;0;3;100;100;100;2;302
1302;1;1;83;78;90;10;261
1303;1;2;66;79;76;9;230
1304;0;4;74;72;73;6;225
1305;1;4;79;88;79;6;252
1306;0;4;83;98;90;6;277
1307;1;2;73;81;97;1;252
1308;0;1;93;100;100;4;297
1309;0;4;84;100;100;10;294
1310;1;1;88;84;74;6;252
1311;1;3;82;81;100;5;268
1312;0;1;75;82;80;3;240
